Account,Token Account,Quantity,Percentage
KpXrCt3pjJYFind2kgk7nQ3dS6bqjC2Ze3zzE5MQ78v,XSVWXKiSqMLcWEb8a7qjsGE5dmKiqkE8coyXRTDpta5,177373627.0160711,19.27
E35MHYGnkU57jrqR5pBKC8SX4EwLSGxnEXqyVdgemedh,E35MHYGnkU57jrqR5pBKC8SX4EwLSGxnEXqyVdgemedh,50000000,5.43
83G1QyawkZ28nqRrNSEpaYQXiY1zB1TixPycEGAYWyAM,AB2khhSZvV7csBUgNvzgwiMts2hqMNPoCvJKVFXqtRQ9,27334255.23380647,2.97
HC5tR5cv2Z4tVzHY4XDFgPkHA6ZVqWsgLkvgACpT7qAW,CMYrPzEwuYG3Y9KmeyxAsc8eJq3tAyojTbCejAsPbvEE,24602295.04440712,2.67
7xiZfiHvSGJ8UCCBWgdWoy7XcLGEJPKRbX7pESwrdX6c,3chMwbonF1FboStUrk8f6YCsZBVpfQocwSy2ezdUAbSu,21970410.63539034,2.39
A3NwnP4Fmjq4DwtMnnsN8WArWRYkeJj5rdH5dDGUEPFu,FnwdHk3DJFodA8MQjdLsfichETwhQZ9GyHCwMTX67Zg6,21417625.774462115,2.33
AG2ErUZU5BCLoLwf8biEboPJ6sbxC1jUV6qGd1k3mrDD,CGfNKgxZeHktKXxeFbAi3ZTPaL7s8wx1ayDGooTuL2tP,18627186.17372659,2.02
H5YvUy7T5N6ZgMoRDo6ADnjmheQ8t9ESvg325mKbHc8N,BBft7VYCsbTRzsS6cCYV3KcEqZcmmdBNFrVKuw5bcxKQ,18281060.40019185,1.99
2nrfvVrcc1HJq7cD1SyivbpZpmEqbW1niaXQN7onr5H6,5h83YBinTaYQ7zwUqNVuVAfNZuVNdhuu9AFnh14JAHK,18046970.93892335,1.96
Fvn8YFoTd2YxyxnghUYEKuqZL38Ac9tpJuqziceY7rDQ,6LKyYMSPeiEFSM8JQFQGykBD6WQ9wYsE6nmRh5K3uyZS,17132039.851898506,1.86
EkQdMebfdxWRNuQrJTctM1bbm1u7bT4Pjg7g1CSgQ5ve,3tsGvMZmBhpjpWT4HfJXbFWWFeFT6QDCFGv9oXMvcYAj,16847379.130427133,1.83
6e1GCzyBewQdXqQQonLCt2YuMhur6DcyUy4acgymCFZH,ANs1MhgFHhmE7dkW5D9Eyi6okRhv1tv2CmrQ6LSbqsdM,16728721.809654923,1.82
EqeZVLP8zDNocxdG7E5a1YcNFWNExocoUuZFpL4JG6BZ,4Y95ezTgGckDpytPonTqDpek4gYixArWcxk6QdY1FQbT,16358302.161853883,1.78
Tfqfe4MnibU2zDnPPfq7eTmoqeMeehtgEkBibr8fLwf,48cGXtCRfqKLJgUDg9cMqTSsTj64oQoMWuXGsg1J5cHY,16118531.611658065,1.75
4NgUB6u1T6JvdXjTYsUaF6AcEFpKwoLD6azuSfo11MhW,E521mfX3gnPKci2WjaKbbKj5sQ8sNBaSwnMXBrEbaadj,16046697.654189315,1.74
3YXZctNc5fxt693j4zdGG3xeQ9EnrATHQdrpioH9iT1v,7Ex1C9CquwdKWqrVxVztkUEfJLf7sbUiUAqnWaCcbCWy,15500507.49215108,1.68
89hH9J3igRgqafjBgUhMcDgwNH55HhffsguHu9WmsdWt,94XVmDTecB5nYvUKpS3psBYxphGcJvTthBRMRtHn8pRh,15000000,1.63
8eoVGDFvKu1h7rHzxqcbeAEPw8uiUWNLGaZtw4NSbGDt,25mnrifr3pT4uz7sxMejiqr7Yia2zsaBdesjAPeua5X7,14000000,1.52
Gew3yajoEoQTxFHoRAQaxNpHQx76pp4mQFaVydY24U4D,A6eTdj4SFiKs6b1rPiV5kob47Asp6PEueBRRVD8Nk9vi,10043489.2516506,1.09
BSV2TufvWDARRuzieX4AeHyFsYBGQnraHTp8oKe5XKoC,zc4zweHysNuhTfA4UR3jzXWbPuEFmhrKqaXEkoGbs6V,10000223.962762196,1.09
99q5Uy8yZJnRQ6afapJqR59KeunjJnggZLMkUuyasUAV,69tirLLRxxr62cgVHZn4dByEXGWXymQ8H9sxfRczGCzm,10000000,1.09
2EoLNuYxGTKhuVDCfw2R1Tg9prFe3U78vZty2f5MZfVc,974Yi8NTQZPojw9GyYgLZiW6JDZbyXZKmfoNKMh1VUBW,10000000,1.09
CxLfefFjeedtKUdXVRT5zPvn7rg4j8vjf9w63jtN59sA,BrUQaViJjPx4Te9cPsRjwNgP8gJRmhstaVLC4aKxbREd,10000000,1.09
2E78tNBemHGYi4BCuDgF6db9HgiKNv24sBzBFuVzLs1p,3fHp8Y4N6h2rEANYkBvLBfNV148XjBqQFj2UsH7AowyT,9597101.58808852,1.04
